Model Name,Action,Source File,Target File,Score,Top 3 Candidates,Message
Discerptor Eviscerus,COPIED,Cryx_Eviscerus.png,Discerptor Eviscerus.png,88,Cryx_Eviscerus.png (88) | portrait protectorate grand scrutator severius.png (70) | portrait protectorate vice scrutator vindictus.png (62),'Cryx_Eviscerus.png' → 'Discerptor Eviscerus.png'  (score 88)
Exulon Khythos,COPIED,portrait-cryx-exulonkythos.png,Exulon Khythos.png,92,portrait-cryx-exulonkythos.png (92) | Cryx_Exulon-Thexus.png (74) | portrait mercenary exulon thexus.png (74),'portrait-cryx-exulonkythos.png' → 'Exulon Khythos.png'  (score 92)
Lich Lord Dekathus,COPIED,portrait cryx lich lord dekathus.png,Lich Lord Dekathus.png,100,portrait cryx lich lord dekathus.png (100) | portrait cryx lich lord terminus.png (72) | portrait cryx lich lord venethrax.png (72),'portrait cryx lich lord dekathus.png' → 'Lich Lord Dekathus.png'  (score 100)
Master Necrosurgeon Sepsira,COPIED,Cryx_Necrosurgeon-Initiates.png,Master Necrosurgeon Sepsira.png,70,Cryx_Necrosurgeon-Initiates.png (70) | portrait cryx necrosurgeon & stitch thralls.png (70) | portrait cryx master necrotech mortenebra.png (67),'Cryx_Necrosurgeon-Initiates.png' → 'Master Necrosurgeon Sepsira.png'  (score 70)
Mortenebra Perfected,COPIED,portrait_cryx_mortenebra_perfected.png,Mortenebra Perfected.png,100,portrait_cryx_mortenebra_perfected.png (100) | portrait cryx master necrotech mortenebra.png (67) | portrait cryx mortenebra numen of necrogenesis.png (67),'portrait_cryx_mortenebra_perfected.png' → 'Mortenebra Perfected.png'  (score 100)
Wraithbinder Nekane,COPIED,portrait cryx wraithbinder nekane.png,Wraithbinder Nekane.png,100,portrait cryx wraithbinder nekane.png (100) | portrait infernals infernal gate.png (63) | portrait cryx wraith engine.png (62),'portrait cryx wraithbinder nekane.png' → 'Wraithbinder Nekane.png'  (score 100)
Deathjack,COPIED,Cryx_Deathjack1.png,Deathjack.png,100,Cryx_Deathjack1.png (100) | portrait cryx deathjack.png (100) | portrait cryx karchev & deathjack.png (100),'Cryx_Deathjack1.png' → 'Deathjack.png'  (score 100)
Grendel,COPIED,option cryx grendel head grendel.png,Grendel.png,100,option cryx grendel head grendel.png (100) | option cryx grendel left arm salvage ripper.png (100) | option cryx grendel right arm salvage ripper.png (100),'option cryx grendel head grendel.png' → 'Grendel.png'  (score 100)
Hades,COPIED,portrait cryx hades.png,Hades.png,100,portrait cryx hades.png (100) | portrait legion strider blightblades.png (89) | portrait trollblood trollkin fennblades.png (89),'portrait cryx hades.png' → 'Hades.png'  (score 100)
Hellraker,COPIED,Cryx_Hellraker.png,Hellraker.png,100,Cryx_Hellraker.png (100) | Cryx_Hellraker_Voidplate.png (100) | Cryx_Hellraker-alt-head.png (100),'Cryx_Hellraker.png' → 'Hellraker.png'  (score 100)
